,line_name,alert_ids,full_text,start_time,end_time,reasons_set,mins_delay,reason_0,reason_1
463,CR-Kingston,467065, Kingston Line Train 048 (9:52 am from Kingston) is expected to depart from Kingston 5-15 minutes behind schedule due to the late arrival of Train 043. Kingston Line Train 048 (9:52 am from Kingston) has departed from Kingston and is operating near schedule.,2022-10-13 09:52:00,2022-10-13 11:54:00,{'late arrival of train'},5-15,late arrival of train,
464,CR-Kingston,467067, Kingston Line Train 046 (8:37 am from Kingston) is operating 5-15 minutes behind schedule between Braintree and South Station due to train traffic. Kingston Line Train 046 (8:37 am from Kingston) is operating 5-15 minutes behind schedule between Braintree and South Station due to train traffic.,2022-10-13 09:24:37,2022-10-13 10:37:00,{'train traffic'},5-15,train traffic,
465,CR-Kingston,467069, Kingston Line Train 045 (9:33 am from South Station) is expected to depart from South Station 5-15 minutes behind schedule due to the late arrival of equipment. Kingston Line Train 045 (9:33 am from South Station) has departed from South Station and is operating 5-15 minutes behind schedule due to the late arrival of equipment. Kingston Line Train 045 (9:33 am from South Station) is now operating 15-25 minutes behind schedule between JFK/UMass and Kingston due to the late arrival of equipment.,2022-10-13 09:33:00,2022-10-13 11:32:00,{'late arrival of equipment'},15-25,late arrival of equipment,
466,CR-Kingston,467143, Kingston Line Train 057 (4:33 pm from South Station) is operating 5-15 minutes behind schedule between JFK/UMass and Kingston due to train traffic.,2022-10-13 16:56:32,2022-10-13 18:33:00,{'train traffic'},5-15,train traffic,
467,CR-Kingston,467152, Kingston Line Train 058 (4:07 pm from Kingston) is operating 5-15 minutes behind schedule between Braintree and South Station due to train traffic.,2022-10-13 17:06:44,2022-10-13 18:18:00,{'train traffic'},5-15,train traffic,
468,CR-Kingston,467207, Kingston Line Train 061 (6:45 pm from South Station) is operating 5-15 minutes behind schedule between South Weymouth and Kingston. Kingston Line Train 061 (6:45 pm from South Station) is operating 5-15 minutes behind schedule between South Weymouth and Kingston.,2022-10-13 19:25:33,2022-10-13 20:45:00,None,5-15,,
469,CR-Fitchburg,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
470,CR-Fitchburg,467014, Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice.,2022-10-13 05:00:15,2022-10-14 02:30:00,None,,,
471,CR-Fitchburg,467052, Fitchburg Line Train 406 (7:25 am from Wachusett) is operating 5-15 minutes behind schedule between Lincoln and North Station.,2022-10-13 08:36:47,2022-10-13 10:01:00,None,5-15,,
472,CR-Fitchburg,467068, Fitchburg Line Train 407 (8:30 am from North Station) is operating 5-15 minutes behind schedule between West Concord and Wachusett due to train traffic.,2022-10-13 09:27:00,2022-10-13 11:07:00,{'train traffic'},5-15,train traffic,
473,CR-Fitchburg,467071, Fitchburg Line Train 408 (8:25 am from Wachusett) is operating 5-15 minutes behind schedule between Kendal Green and North Station due to train traffic.,2022-10-13 09:38:42,2022-10-13 10:59:00,{'train traffic'},5-15,train traffic,
474,CR-Fitchburg,467080, Fitchburg Line Train 410 (9:25 am from Wachusett) is operating 5-10 minutes behind schedule between Kendal Green and North Station.,2022-10-13 10:36:49,2022-10-13 11:59:00,None,5-10,,
475,CR-Fitchburg,467088, Fitchburg Line Train 412 (10:25 am from Wachusett) is operating 5-10 minutes behind schedule between Kendal Green and North Station.,2022-10-13 11:37:27,2022-10-13 12:59:00,None,5-10,,
476,CR-Fitchburg,467111, Fitchburg Line Train 416 (12:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Lincoln and North Station.,2022-10-13 13:35:58,2022-10-13 14:59:00,None,5-15,,
477,CR-Fitchburg,467126, Fitchburg Line Train 422 (3:25 pm from Wachusett) is stopped at North Leominster due to a mechanical issue and is currently 10-20 minutes behind schedule. Fitchburg Line Train 422 (3:25 pm from Wachusett) is operating 10-20 minutes behind schedule between North Leominster and North Station due to a mechanical issue. Fitchburg Line Train 422 (3:25 pm from Wachusett) is operating 25-35 minutes behind schedule between Shirley and North Station due to a mechanical issue and freight train traffic. Fitchburg Line Train 422 (3:25 pm from Wachusett) is stopped before Lincoln and is 40-50 minutes behind schedule due to train traffic. Fitchburg Line Train 422 (3:25 pm from Wachusett) remains stopped before Lincoln and is 50-60 minutes behind schedule due to train traffic. Fitchburg Line Train 422 (3:25 pm from Wachusett) is operating approximately 1 hour behind schedule between Concord and North Station due to train traffic and a mechanical issue.,2022-10-13 15:53:40,2022-10-13 17:59:00,"{'train traffic', 'mechanical issue'}",50-60,train traffic,mechanical issue
478,CR-Fitchburg,467127, Fitchburg Line Train 419 (2:30 pm from North Station) is stopped after Shirley and is 5-15 minutes behind schedule due to freight train traffic. Fitchburg Line Train 419 (2:30 pm from North Station) is operating 15-20 minutes behind schedule between Shirley and Wachusett due to freight train traffic.,2022-10-13 15:54:51,2022-10-13 17:07:00,{'train traffic'},15-20,train traffic,
479,CR-Fitchburg,467132, Fitchburg Line Train 424 (4:25 pm from Wachusett) is expected to depart Wachusett 5-15 minutes behind schedule due to freight train traffic. Fitchburg Line Train 424 (4:25 pm from Wachusett) has departed Wachusett and is 5-10 minutes behind schedule due to freight train traffic. Fitchburg Line Train 424 (4:25 pm from Wachusett) is operating 10-20 minutes behind schedule between Brandeis/Roberts and North Station.,2022-10-13 16:25:00,2022-10-13 18:59:00,{'train traffic'},10-20,train traffic,
480,CR-Fitchburg,467135, Fitchburg Line Train 421 (3:30 pm from North Station) is operating 5-15 minutes behind schedule between Concord and Wachusett.,2022-10-13 16:23:53,2022-10-13 18:08:00,None,5-15,,
481,CR-Fitchburg,467142, Fitchburg Line Train 423 (4:30 pm from North Station) is operating 5-15 minutes behind schedule between Porter and Wachusett. Fitchburg Line Train 423 (4:30 pm from North Station) is operating 20-25 minutes behind schedule between Concord and Wachusett. Fitchburg Line Train 423 (4:30 pm from North Station) is operating 30-40 minutes behind schedule between Littleton and Wachusett due to slippery rail conditions. Fitchburg Line Train 423 (4:30 pm from North Station) is operating 30-40 minutes behind schedule between Littleton and Wachusett due to slippery rail conditions.,2022-10-13 16:51:22,2022-10-13 19:10:00,None,30-40,,
482,CR-Fitchburg,467172, Fitchburg Line Train 428 (6:25 pm from Wachusett) is expected to depart Wachusett at least 15 minutes behind schedule due to slippery rail conditions. Fitchburg Line Train 428 (6:25 pm from Wachusett) is now expected to depart Wachusett at least 25 minutes behind schedule due to slippery rail conditions. Fitchburg Line Train 428 (6:25 pm from Wachusett) has departed Wachusett and is operating 25-35 minutes behind schedule due to slippery rail conditions. Fitchburg Line Train 428 (6:25 pm from Wachusett) is stopped before Lincoln and is 40-50 minutes behind schedule due to slippery rail conditions and train traffic. Fitchburg Line Train 428 (6:25 pm from Wachusett) is operating 50-60 minutes behind schedule between Concord and North Station due to slippery rail conditions and train traffic.,2022-10-13 18:25:00,2022-10-13 20:59:00,{'train traffic'},50-60,train traffic,
483,CR-Fitchburg,467188, Fitchburg Line Train 426 (5:25 pm from Wachusett) is operating 5-15 minutes behind schedule between Littleton and North Station due to slippery rail conditions.,2022-10-13 18:10:16,2022-10-13 19:59:00,None,5-15,,
484,CR-Fitchburg,467197, Fitchburg Line Train 425 (5:30 pm from North Station) is operating 10-20 minutes behind schedule between West Concord and Wachusett due to slippery rail conditions and a signal issue. Fitchburg Line Train 425 (5:30 pm from North Station) is operating 25-35 minutes behind schedule between Shirley and Wachusett due to slippery rail conditions and a signal issue.,2022-10-13 18:30:02,2022-10-13 20:10:00,{'signal issue'},25-35,signal issue,
485,CR-Fitchburg,467200, Please board Fitchburg Line Train 427 (6:30 pm from North Station) on the inbound platform (Track 2) at Concord and West Concord today.,2022-10-13 18:56:37,2022-10-13 21:08:00,None,,,
486,CR-Fitchburg,467201, Fitchburg Line Train 430 (7:25 pm from Wachusett) is expected to depart Wachusett 10-20 minutes behind schedule due to slippery rail conditions. Fitchburg Line Train 430 (7:25 pm from Wachusett) has departed Wachusett and is 20-25 minutes behind schedule due to slippery rail conditions.,2022-10-13 19:25:00,2022-10-13 21:59:00,None,20-25,,
487,CR-Fitchburg,467214, Fitchburg Line Train 427 (6:30 pm from North Station) is operating 5-15 minutes behind schedule between Littleton/Route 495 and Wachusett due to slippery rail conditions.,2022-10-13 19:42:30,2022-10-13 21:08:00,None,5-15,,
488,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
489,CR-Haverhill,466695," On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 16:56:06,2022-12-03 02:30:00,None,,,
490,CR-Haverhill,466697," On the weekends of October 15-16, November 5-6, and December 3-4, there will be no train service at Haverhill Station to allow for Merrimack River Bridge improvement work. Please board/exit the train from Bradford Station. On the weekends of October 15-16, November 5-6, and December 3-4, there will be no train service at Haverhill Station to allow for Merrimack River Bridge improvement work. Please board/exit the train from Bradford Station. On the weekends of October 15-16, November 5-6, and December 3-4, there will be no train service at Haverhill Station to allow for Merrimack River Bridge improvement work. Please board/exit the train from Bradford Station.",2022-10-11 17:09:07,2022-12-05 02:30:00,None,,,
491,CR-Haverhill,466699," On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 17:15:47,2022-12-06 02:30:00,None,,,
492,CR-Haverhill,466700," On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 17:20:41,2022-12-06 02:30:00,None,,,
493,CR-Haverhill,467027, Haverhill Line Train 202 (6:12 am from Haverhill) is operating 5-15 minutes behind schedule between Greenwood and North Station. Haverhill Line Train 202 (6:12 am from Haverhill) is operating 5-15 minutes behind schedule between Greenwood and North Station.,2022-10-13 07:09:13,2022-10-13 08:24:00,None,5-15,,
494,CR-Haverhill,467156, Haverhill Line Train 215 (4:25 pm from North Station) is operating 5-15 minutes behind schedule between Reading and Haverhill. Haverhill Line Train 215 (4:25 pm from North Station) is operating 5-15 minutes behind schedule between Reading and Haverhill due to slippery rail.,2022-10-13 17:08:09,2022-10-13 18:41:00,None,5-15,,
495,CR-Haverhill,467167, Haverhill Line Train 218 (5:20 pm from Haverhill) is stopped before Lawrence and is 5-15 minutes behind schedule due to train traffic. Haverhill Line Train 218 (5:20 pm from Haverhill) is operating 10-20 minutes behind schedule between Lawrence and North Station due to slippery rail.,2022-10-13 17:38:01,2022-10-13 19:17:00,{'train traffic'},10-20,train traffic,
496,CR-Haverhill,467222, Haverhill Line Train 222 (8:12 pm from Haverhill) is operating 5-15 minutes behind schedule between Ballardvale and North Station.,2022-10-13 20:50:26,2022-10-13 22:22:00,None,5-15,,
497,CR-Lowell,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
498,CR-Lowell,467081, Please board all Lowell Line trains on the inbound platform (Track 2) at West Medford and Wedgemere until 3:30 pm today. Normal boarding has resumed for all Lowell Line trains at West Medford and Wedgemere.,2022-10-13 10:40:15,2022-10-13 15:30:00,None,,,
499,CR-Lowell,467171, Lowell Line Train 331 (6:10 pm from North Station) is expected to depart North Station 5-15 minutes behind schedule due to the late arrival of equipment. Lowell Line Train 331 (6:10 pm from North Station) has departed North Station and is 5-15 minutes behind schedule due to the late arrival of equipment.,2022-10-13 18:10:00,2022-10-13 19:56:00,{'late arrival of equipment'},5-15,late arrival of equipment,
500,CR-Needham,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
501,CR-Needham,467146, Needham Line Train 622 (4:05 pm from Needham Heights) is stopped near Back Bay due to police activity and is currently 15-25 minutes behind schedule. Needham Line Train 622 (4:05 pm from Needham Heights) is operating 15-25 minutes behind schedule between Back Bay and South Station due to earlier police activity.,2022-10-13 17:01:24,2022-10-13 17:51:00,None,15-25,,
502,CR-Needham,467159, Needham Line Train 623 (4:55 pm from South Station) is operating 15-20 minutes behind schedule between South Station and Needham Heights due to earlier police activity. Needham Line Train 623 (4:55 pm from South Station) is operating 30-40 minutes behind schedule between Forest Hills and Needham Heights due to earlier police activity and train traffic.,2022-10-13 17:11:47,2022-10-13 18:38:00,{'train traffic'},30-40,train traffic,
503,CR-Needham,467169, Needham Line Train 626 (6:05 pm from Needham Heights) is expected to depart Needham Heights 5-15 minutes behind schedule due to the late arrival of Train 623. Needham Line Train 626 (6:05 pm from Needham Heights) has departed Needham Heights and is 10-20 minutes behind schedule due to the late arrival of Train 623.,2022-10-13 18:05:00,2022-10-13 19:50:00,{'late arrival of train'},10-20,late arrival of train,
504,CR-Fairmount,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
505,CR-Franklin,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
506,CR-Franklin,467272, Franklin Line Train 704 (7:12 am from Forge Park/495) is operating 5-15 minutes behind schedule between Norwood Depot and South Station.,2022-10-14 07:56:41,2022-10-14 09:20:00,None,5-15,,
507,CR-Franklin,467293, Foxboro Line Train 747 (8:45 am from South Station) is operating 5-10 minutes behind schedule between Islington and Foxboro.,2022-10-14 09:21:26,2022-10-14 10:34:00,None,5-10,,
508,CR-Franklin,467380, Franklin Line Train 720 (3:15 pm from Forge Park/495) is stopped at Norfolk and is 5-15 minutes behind schedule due to an unruly passenger. Franklin Line Train 720 (3:15 pm from Forge Park/495) is stopped at Norfolk and is 15-25 minutes behind schedule due to an unruly passenger. Franklin Line Train 720 (3:15 pm from Forge Park/495) is operating 25-30 minutes behind schedule between Norfolk and South Station due to an unruly passenger.,2022-10-14 15:39:27,2022-10-14 17:19:00,None,25-30,,
509,CR-Franklin,467412, Franklin Line Train 724 (5:07 pm from Forge Park/495) is operating 5-15 minutes behind schedule between Franklin and South Station.,2022-10-14 17:27:23,2022-10-14 19:13:00,None,5-15,,
510,CR-Franklin,467424, Franklin Line Train 721 (4:45 pm from South Station) is operating 5-15 minutes behind schedule between Walpole and Forge Park.,2022-10-14 17:44:21,2022-10-14 18:52:00,None,5-15,,
511,CR-Franklin,467428, Franklin Line Train 723 (5:45 pm from South Station) is operating 5-10 minutes behind schedule between South Station and Forge Park.,2022-10-14 18:00:31,2022-10-14 19:52:00,None,5-10,,
512,CR-Franklin,467438, Foxboro Line Train 760 (7:25 pm from Foxboro) is operating 5-10 minutes behind schedule between Foxboro and South Station.,2022-10-14 19:45:28,2022-10-14 21:17:00,None,5-10,,
513,CR-Franklin,467441, Franklin Line Train 726 (8:05 pm from Forge Park/495) is operating 10-20 minutes behind schedule between Franklin and South Station.,2022-10-14 20:26:52,2022-10-14 22:09:00,None,10-20,,
514,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
515,CR-Greenbush,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
516,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
517,CR-Kingston,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
518,CR-Kingston,467302," Kingston Train 041 (6:05 am from South Station) will no longer operate after October 14th. Effective Monday, October 17th, with the new Fall/Winter schedule, Train 043 (8:25 am from South Station) will be the first outbound train to Kingston.",2022-10-14 09:57:02,2022-10-17 02:30:00,None,,,
519,CR-Kingston,467348, Kingston Line Train 051 (1:18 pm from South Station) is operating 5-15 minutes behind schedule between South Weymouth and Kingston.,2022-10-14 13:57:29,2022-10-14 15:17:00,None,5-15,,
520,CR-Kingston,467435, Kingston Line Train 061 (6:45 pm from South Station) is operating 5-10 minutes behind schedule between Braintree and Kingston.,2022-10-14 19:20:23,2022-10-14 20:45:00,None,5-10,,
521,CR-Fitchburg,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
522,CR-Fitchburg,467245, Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice. Please board all Fitchburg Line trains on the outbound platform (Track 1) at Brandeis/Roberts until further notice.,2022-10-14 05:48:27,2022-10-15 02:30:00,None,,,
523,CR-Fitchburg,467257, Fitchburg Line Train 403 (6:30 am from North Station) is operating 5-15 minutes behind schedule between Waltham and Wachusett due to area track work.,2022-10-14 07:02:04,2022-10-14 09:07:00,{'track work'},5-15,track work,
524,CR-Fitchburg,467259, Fitchburg Line Train 404 (6:25 am from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station.,2022-10-14 07:03:55,2022-10-14 09:03:00,None,5-15,,
525,CR-Fitchburg,467283, Fitchburg Line Train 406 (7:25 am from Wachusett) is operating 5-15 minutes behind schedule between Kendal Green and North Station due to area track work.,2022-10-14 08:42:14,2022-10-14 10:01:00,{'track work'},5-15,track work,
526,CR-Fitchburg,467287, Fitchburg Line Train 407 (8:30 am from North Station) is operating 5-15 minutes behind schedule between Brandeis/Roberts and Wachusett due to area track work.,2022-10-14 09:05:11,2022-10-14 11:07:00,{'track work'},5-15,track work,
527,CR-Fitchburg,467288, Fitchburg Line Train 408 (8:25 am from Wachusett) is operating 5-15 minutes behind schedule between Ayer and North Station due to area track work.,2022-10-14 09:10:24,2022-10-14 10:59:00,{'track work'},5-15,track work,
528,CR-Fitchburg,467347, Fitchburg Line Train 417 (1:30 pm from North Station) has not yet departed North Station due to a late swap of equipment and is currently 5-15 minutes behind schedule. Fitchburg Line Train 417 (1:30 pm from North Station) has departed North Station and is operating near schedule.,2022-10-14 13:33:56,2022-10-14 16:07:00,None,5-15,,
529,CR-Haverhill,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
530,CR-Haverhill,466695," On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work. On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work. On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work. On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work. On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work. On the Fridays of October 14, November 4, and December 2, shuttle buses will replace train service between Haverhill and Reading after 7:00 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 16:56:06,2022-12-03 02:30:00,None,,,
531,CR-Haverhill,466699," On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace outbound train service between Reading and Haverhill from 8:30 am to 2:00 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 17:15:47,2022-12-06 02:30:00,None,,,
532,CR-Haverhill,466700," On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work. On the Mondays of October 17, November 7, and December 5, shuttle buses will replace inbound train service between Haverhill and Reading from 9:30 am to 3:30 pm to allow for Merrimack River Bridge improvement work.",2022-10-11 17:20:41,2022-12-06 02:30:00,None,,,
533,CR-Haverhill,467165," On Friday, October 14, Haverhill Line Train 224 (9:32 pm from Haverhill) will operate approximately 20 minutes later than scheduled between Reading and North Station to allow for work on the Merrimack River Bridge project.",2022-10-14 21:27:00,2022-10-14 23:36:00,None,20,,
534,CR-Haverhill,467294, Haverhill Line Train 206 (8:27 am from Haverhill) is operating 5-10 minutes behind schedule between Greenwood and North Station. Haverhill Line Train 206 (8:27 am from Haverhill) is operating 5-10 minutes behind schedule between Greenwood and North Station.,2022-10-14 09:22:43,2022-10-14 10:38:00,None,5-10,,
535,CR-Haverhill,467295," On the weekends of October 15-16, November 5-6, and December 3-4, there will be no train service at Haverhill Station to allow for Merrimack River Bridge improvement work. Please board/exit the train from Bradford Station. On the weekends of October 15-16, November 5-6, and December 3-4, there will be no train service at Haverhill Station to allow for Merrimack River Bridge improvement work. Please board/exit the train from Bradford Station.",2022-10-14 09:27:03,2022-12-05 02:30:00,None,,,
536,CR-Haverhill,467297, Haverhill Line Train 205 (9:40 am from North Station) is expected to depart from North Station 5-15 minutes behind schedule due to mechanical issues. Haverhill Line Train 205 (9:40 am from North Station) has departed from North Station and is operating 5-15 minutes behind schedule due to mechanical issues. Haverhill Line Train 205 (9:40 am from North Station) has departed from North Station and is operating 5-15 minutes behind schedule due to mechanical issues.,2022-10-14 09:40:00,2022-10-14 11:52:00,{'mechanical issue'},5-15,mechanical issue,
537,CR-Haverhill,467316, Haverhill Line Train 207 (11:10 am from North Station) is expected to depart from North Station 5-15 minutes behind schedule due to the late arrival of equipment. Haverhill Line Train 207 (11:10 am from North Station) has departed from North Station and is operating near schedule.,2022-10-14 11:10:00,2022-10-14 13:22:00,{'late arrival of equipment'},5-15,late arrival of equipment,
538,CR-Haverhill,467421, Haverhill Line Train 218 (5:20 pm from Haverhill) is operating 5-15 minutes behind schedule between Bradford and North Station.,2022-10-14 17:36:24,2022-10-14 19:17:00,None,5-15,,
539,CR-Lowell,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
540,CR-Lowell,467312, Please board all Lowell Line trains on the inbound platform (Track 2) at West Medford and Wedgemere until 3:30 PM today. Normal boarding has resumed for all Lowell Line trains at West Medford and Wedgemere.,2022-10-14 10:37:47,2022-10-14 15:30:00,None,,,
541,CR-Lowell,467324, Please board Lowell Line Train 315 (11:10 am from North Station) on the inbound platform (Track 2) at the Wilmington and North Billerica today.,2022-10-14 11:17:36,2022-10-14 12:55:00,None,,,
542,CR-Lowell,467330, Lowell Line Train 315 (11:10 am from North Station) is operating 5-15 minutes behind schedule between Anderson/Woburn and Lowell.,2022-10-14 11:41:29,2022-10-14 12:55:00,None,5-15,,
543,CR-Needham,465377," The new Fall/Winter Commuter Rail schedules go into effect on Monday, October 17th. Visit MBTA.com to see how we adapted our service for better seasonal performance.",2022-10-03 17:25:01,2022-10-17 02:30:00,None,,,
544,CR-Needham,467260, Needham Line Train 603 (6:50 am from South Station) is operating 5-15 minutes behind schedule between Ruggles and Needham Heights due to train traffic. Needham Line Train 603 (6:50 am from South Station) is operating 5-15 minutes behind schedule between West Roxbury and Needham Heights due to a signal issue.,2022-10-14 07:10:00,2022-10-14 08:35:00,"{'signal issue', 'train traffic'}",5-15,signal issue,train traffic
545,CR-Needham,467266, Needham Line Train 604 (7:05 am from Needham Heights) is operating 5-15 minutes behind schedule between West Roxbury and South Station due to a signal issue.,2022-10-14 07:34:08,2022-10-14 08:50:00,{'signal issue'},5-15,signal issue,
546,CR-Needham,467276, Needham Line Train 605 (7:50 am from South Station) is operating 5-15 minutes behind schedule between Ruggles and Needham Heights due to a signal issue.,2022-10-14 08:11:55,2022-10-14 09:35:00,{'signal issue'},5-15,signal issue,
547,CR-Needham,467318, Needham Line Train 611 (10:50 am from South Station) is operating 5-15 minutes behind schedule between Ruggles and Needham Heights. Needham Line Train 611 (10:50 am from South Station) is operating 5-15 minutes behind schedule between Bellevue and Needham Heights due to train traffic.,2022-10-14 11:07:00,2022-10-14 12:35:00,{'train traffic'},5-15,train traffic,
548,CR-Needham,467336, Needham Line Train 613 (11:50 am from South Station) is operating 5-10 minutes behind schedule between West Roxbury and Needham Heights due to train traffic.,2022-10-14 12:31:00,2022-10-14 13:35:00,{'train traffic'},5-10,train traffic,
549,CR-Needham,467394, Needham Line Train 621 (3:55 pm from South Station) is operating 10-15 minutes behind schedule between Roslindale Village and Needham Heights.,2022-10-14 16:24:47,2022-10-14 17:38:00,None,10-15,,
550,CR-Needham,467398, Needham Line Train 623 (4:55 pm from South Station) is expected to depart South Station 5-15 minutes behind schedule due to the late arrival of equipment. Needham Line Train 623 (4:55 pm from South Station) has departed South Station and is 10-20 minutes behind schedule due to the late arrival of equipment.,2022-10-14 16:55:00,2022-10-14 18:38:00,{'late arrival of equipment'},10-20,late arrival of equipment,
551,CR-Needham,467423, Needham Line Train 624 (5:05 pm from Needham Heights) is operating 5-15 minutes behind schedule between Bellevue and South Station.,2022-10-14 17:42:48,2022-10-14 18:51:00,None,5-15,,
